Price,sqft,beds,bath,age,stories,vacant
163,2727,5,3,8,2,0
88,1069,3,2,5,1,0
165,2846,4,3,56,2,0
150,1790,4,3,36,2,0
159.95,2200,4,2,28,1,0
110,1122,2,1,60,1,0
157,2700,4,3,68,2,0
160.5,2581,3,2,85,2,0
220,2048,3,2,17,1,0
88,1458,3,2,17,1,0
125,1712,3,2,10,1,0
85.5,1059,3,2,14,1,0
99.95,1197,3,1,48,1,0
91,1600,2,2,29,1,0
94.5,1254,3,1,42,1,0
94,1224,3,1,40,1,0
125,1806,3,2,8,1,0
225,1614,3,2,14,1,0
116.5,1800,4,2,17,1,0
173,1756,3,2,12,1,0
86,1500,3,2,69,1,0
95,1840,4,2,15,1,0
69,921,2,1,44,1,0
113,2858,4,2,69,2,0
78,1284,3,2,22,1,0
205,2666,3,3,15,1,0
105,1530,2,2,52,1,0
115,1514,4,2,12,1,0
164,2450,4,3,6,2,0
148.5,2263,4,3,17,1,0
100,1158,3,1,47,1,0
96.5,980,2,1,50,1,0
175,1989,3,3,32,1,0
159,2440,4,3,5,2,0
79,1321,3,2,11,1,0
169.5,2315,3,2,42,1,0
216,2221,3,3,13,1,0
147,2356,4,3,4,2,0
122,1750,3,2,14,1,0
65,1392,2,1,80,1,0
69,1092,2,1,95,1,0
104,1342,3,2,36,1,0
145,2641,5,3,5,2,0
86.5,1668,3,2,34,1,0
114,1698,3,2,15,1,0
181.5,1960,3,3,16,2,0
125.5,1720,3,2,20,1,0
170,2706,5,3,6,2,0
82,1140,3,2,14,1,0
91,1384,3,2,33,1,0
92.4,1280,4,2,24,1,0
119,2017,4,2,23,1,0
72.5,1026,3,1,36,1,0
275,2402,4,3,8,1,0
143,2678,5,3,7,2,0
74,1376,3,2,5,1,0
115,1330,2,1,46,1,0
240,3047,4,3,9,2,0
260,2242,4,3,5,2,0
119.95,1475,3,2,8,1,0
127,1803,3,2,6,1,0
103,1519,3,2,19,1,0
129.95,1479,3,2,9,1,0
220,2426,4,3,3,1,0
127,1708,3,2,34,1,0
73.5,1062,3,1,40,1,0
208,2940,4,3,21,1,0
139,1984,4,3,15,2,0
157,2184,3,3,25,1,0
59.3,954,3,2,12,1,0
81.5,1040,3,2,4,1,0
74.95,1110,3,2,13,1,0
78,1478,3,2,35,1,0
75,1100,3,1,40,1,0
460,3582,4,4,2,2,0
60,1196,3,1,35,1,0
295,3298,5,3,28,2,0
73.5,1366,3,2,22,1,0
428,3760,4,4,1,2,0
164,2392,4,2,66,2,0
88,1458,3,2,16,1,0
185,2175,3,2,11,1,0
77,1154,3,2,15,1,0
107,1421,3,2,44,1,0
60,1199,2,1,48,1,0
84,1104,3,1,45,1,0
75,1040,3,2,6,1,0
72,965,2,2,88,1,0
155,1868,4,2,40,1,0
115,1910,4,2,19,1,0
159,1885,4,2,1,1,0
82,1059,3,2,15,1,0
257.5,2148,4,3,8,1,0
67,1248,2,1,71,1,0
444,4278,6,4,11,1,0
89.25,1146,2,1,40,1,0
105,1666,3,2,14,1,0
92,1126,3,1,41,1,0
119,1894,4,3,3,2,0
124,1983,4,2,44,1,0
70,1300,3,2,54,1,0
76,1001,3,1,41,1,0
155,2163,4,3,16,2,0
300,1861,2,2,7,2,0
102,1635,4,3,4,2,0
84,1452,3,2,62,1,0
73,1200,3,2,10,1,0
107,2315,4,4,86,2,0
222.5,2426,4,3,3,2,0
